method,response,symbol,unit,sample_size,n_train,n_test,R2_train,a10_train,RMSE_train,MAE_train,R2_test,a10_test,RMSE_test,MAE_test
ELM,Xdisp,delta_x,m,200,140,60,0.686,0.526,0.014,0.010,0.645,0.485,0.015,0.012
ELM,Ydisp,delta_y,m,200,140,60,0.725,0.516,0.023,0.018,0.666,0.430,0.027,0.021
ELM,Sxx,sigma_xx,Pa,200,140,60,0.760,0.917,7450.892,5976.853,0.671,0.915,8606.413,6707.844
ELM,Syy,sigma_yy,Pa,200,140,60,0.688,0.971,19536.873,15346.915,0.627,0.957,20710.198,16616.888
ELMABC,Xdisp,delta_x,m,200,140,60,0.773,0.633,0.014,0.008,0.776,0.587,0.013,0.010
ELMABC,Ydisp,delta_y,m,200,140,60,0.854,0.646,0.017,0.013,0.778,0.572,0.024,0.015
ELMABC,Sxx,sigma_xx,Pa,200,140,60,0.869,0.927,5781.942,4316.449,0.816,0.922,6242.472,4871.301
ELMABC,Syy,sigma_yy,Pa,200,140,60,0.863,0.986,12547.754,9915.560,0.813,0.990,14623.693,11397.670
ELMACOR,Xdisp,delta_x,m,200,140,60,0.807,0.657,0.014,0.008,0.718,0.520,0.014,0.011
ELMACOR,Ydisp,delta_y,m,200,140,60,0.822,0.634,0.020,0.014,0.679,0.538,0.025,0.018
ELMACOR,Sxx,sigma_xx,Pa,200,140,60,0.863,0.926,5610.585,4222.052,0.791,0.928,6952.689,5444.973
ELMACOR,Syy,sigma_yy,Pa,200,140,60,0.859,0.991,12623.186,9775.119,0.764,0.968,15634.237,11877.716
ELMIGWO,Xdisp,delta_x,m,200,140,60,0.769,0.652,0.016,0.009,0.770,0.547,0.014,0.011
ELMIGWO,Ydisp,delta_y,m,200,140,60,0.891,0.765,0.015,0.011,0.853,0.655,0.020,0.013
ELMIGWO,Sxx,sigma_xx,Pa,200,140,60,0.900,0.927,4255.330,3305.737,0.831,0.915,5752.584,4479.175
ELMIGWO,Syy,sigma_yy,Pa,200,140,60,0.934,0.995,6635.505,5082.233,0.897,0.983,8326.164,6428.317
