method,hidden_neurons,case_count,modeled_cases,mean_R2,median_R2,mean_nRMSE,mean_nMAE,mean_a10,cases_R2_ge_090,total_train_s
ELM,10,70,67,0.5907406,0.6039,0.1071,0.0803,0.3693,0,4.21
ELM,20,70,67,0.7791130,0.8059,0.0759,0.0547,0.4572,12,5.64
ELM,30,70,67,0.8064352,0.8300,0.0704,0.0500,0.4762,13,7.81
ELMABC,5,70,67,0.8456767,0.8606,0.0620,0.0437,0.5088,19,3911.4
ELMABC,10,70,67,0.8441174,0.8674,0.0621,0.0438,0.5098,20,5073.9
ELMABC,15,70,67,0.8499900,0.8710,0.0602,0.0424,0.5157,21,6379.4
ELMACOR,5,70,67,0.7319709,0.7163,0.0850,0.0616,0.4400,5,8663.2
ELMACOR,10,70,67,0.7344924,0.7451,0.0850,0.0623,0.4302,5,15499.0
ELMACOR,15,70,67,0.7567935,0.7640,0.0813,0.0589,0.4412,12,22356.4
ELMIGWO,5,70,67,0.8856985,0.9027,0.0511,0.0348,0.5572,36,3214.8
ELMIGWO,10,70,67,0.8792799,0.9047,0.0519,0.0355,0.5516,35,4880.9
ELMIGWO,15,70,67,0.8750730,0.9058,0.0521,0.0355,0.5541,37,6588.3
