model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMABC,1,1,111886,0.9125934,0.06058777,0.04336914,0.295196675187113,108758,0,94.2973203
ELMABC,1,2,80302,0.8073138,0.07908069,0.05306764,0.225773842275653,78149,0,95.4414527
ELMABC,1,3,108938,0.9804302,0.0250501,0.01791337,0.99723696047293,108938,0,96.6033239
ELMABC,1,4,107335,0.9577498,0.02829674,0.01953324,0.996841663949318,107335,0,95.8408595
ELMABC,1,5,108573,0.9848402,0.02397792,0.01741637,0.997522404280991,108573,0,94.7587143
ELMABC,1,6,99685,0.8792691,0.06810824,0.04751421,0.3012609874312,97384,0,94.50145
ELMABC,1,7,99685,0.8860438,0.0661697,0.04706535,0.311591226484843,97384,0,94.4014978
ELMABC,2,1,110740,0.8813841,0.07110754,0.05042734,0.25608600928294,105570,0,94.5196099
ELMABC,2,2,93548,0.8709385,0.0699525,0.05081575,0.256295632405019,91492,0,94.4408651
ELMABC,2,3,107783,0.9798813,0.02676604,0.02032595,0.994006475974875,107783,0,94.4362515
ELMABC,2,4,107916,0.9515538,0.03140594,0.02204533,0.990835464620631,107916,0,94.7872866
ELMABC,2,5,106418,0.9877047,0.02382787,0.0187298,0.92182713450732,106418,0,94.8605172
ELMABC,2,6,103081,0.8728446,0.07843698,0.05574248,0.320016892741149,99451,0,94.4543984
ELMABC,2,7,86716,0.8540755,0.06712967,0.0469096,0.290610568304584,84233,0,95.085324
ELMABC,3,1,91897,0.8352723,0.06339873,0.04216336,0.296421562968948,86630,0,94.0761591
ELMABC,3,2,88065,0.8571634,0.06694219,0.04590799,0.265432387000374,85664,0,94.1420479
ELMABC,3,3,106010,0.8709683,0.05115461,0.03934874,0.939335911706443,106010,0,94.1591575
ELMABC,3,4,106265,0.9254935,0.04467715,0.03296683,0.924104832258975,106265,0,94.3659657
ELMABC,3,5,134049,0.9401341,0.06462304,0.04407651,0.443686944361203,40044,0,94.1349696
ELMABC,3,6,87914,0.8342281,0.07033866,0.04457252,0.306917466965124,83094,0,94.4636126
ELMABC,3,7,93443,0.6410154,0.07597704,0.04785192,0.0963102831234699,91091,0,93.8857235
ELMABC,4,1,111234,0.8540697,0.08289362,0.06076049,0.210738391177664,108452,0,93.9414487
ELMABC,4,2,87389,0.8587219,0.07104823,0.04986826,0.259813150509751,84453,0,94.1352973
ELMABC,4,3,107580,0.9662653,0.02919637,0.02083504,0.99695110615356,107580,0,95.1364106
ELMABC,4,4,107501,0.9354849,0.03170966,0.01896681,0.996065152882299,107501,0,98.4156264
ELMABC,4,5,107657,0.9819233,0.02574521,0.01846379,0.996553870161717,107657,0,94.1492043
ELMABC,4,6,112066,0.8744432,0.03707147,0.02414416,0.316690105702491,110215,0,94.1385696
ELMABC,4,7,85362,0.8914918,0.05960703,0.04306439,0.300506692512483,81509,0,94.3945074
ELMABC,5,1,110916,0.8598982,0.07342557,0.0498119,0.265724101479915,105952,0,95.0299034
ELMABC,5,2,103798,0.8554833,0.06163612,0.04350438,0.285145783299923,100766,0,94.2174695
ELMABC,5,3,108198,0.980192,0.02497737,0.01899899,0.997661694301189,108198,0,94.3425716
ELMABC,5,4,108525,0.9071759,0.03708131,0.02633089,0.99653536051601,108525,0,94.2603869
ELMABC,5,5,108324,0.9867926,0.02556894,0.01911593,0.943641298327241,108324,0,94.8356431
ELMABC,5,6,110524,0.8524839,0.0592787,0.04266787,0.260647502876439,106903,0,94.0945721
ELMABC,5,7,88564,0.7561715,0.0917853,0.06253159,0.209930231461839,84852,0,94.0217067
ELMABC,6,1,98276,0.8341521,0.07177074,0.04736427,0.264471485496379,93356,0,94.2922597
ELMABC,6,2,96724,0.9200173,0.06270015,0.04580976,0.353292771755431,93356,0,100.8981537
ELMABC,6,3,104586,0.9291776,0.05074669,0.04205532,0.863165242001798,104586,0,106.594763
ELMABC,6,4,107077,0.7910805,0.05273935,0.04121615,0.984739953491413,107077,0,96.4337716
ELMABC,6,5,134110,0.9574998,0.0526066,0.03435992,0.594400295693957,54110,0,96.661975
ELMABC,6,6,106651,0.8796651,0.05118551,0.034131,0.336643768400393,101900,0,96.9624609
ELMABC,6,7,103279,0.7809725,0.06759422,0.04695498,0.22662599566266,98678,0,97.0864942
ELMABC,7,1,111842,0.8970693,0.06673244,0.04754156,0.263089797940869,108978,0,96.6106781
ELMABC,7,2,92431,0.835063,0.05046424,0.03519405,0.207644536775106,90496,0,96.3984517
ELMABC,7,3,108486,0.9184185,0.03998371,0.02910626,0.986837011227255,108486,0,97.233722
ELMABC,7,4,108434,0.9163264,0.0328541,0.01668884,0.995739343748271,108434,0,96.7908223
ELMABC,7,5,25045,0.2190673,0.1872705,0.146737,0.374925134757437,25045,0,94.0202998
ELMABC,7,6,110318,0.8873166,0.05273016,0.0379722,0.300728072678405,108643,0,94.8046796
ELMABC,7,7,69053,0.8585791,0.0509795,0.03492904,0.248309681254179,67295,0,94.2737194
ELMABC,8,1,110981,0.882816,0.07094815,0.05007972,0.277910523880132,105883,0,94.2572396
ELMABC,8,2,73108,0.8810484,0.06652823,0.04679811,0.284719574029349,70803,0,94.5841702
ELMABC,8,3,107495,0.9723988,0.0289657,0.02213912,0.990706544490441,107495,0,95.0908137
ELMABC,8,4,107264,0.8779085,0.03802094,0.02533838,0.996252237470167,107264,0,94.6859179
ELMABC,8,5,180000,NaN,NaN,NaN,NaN,0,1,0.0001914
ELMABC,8,6,108433,0.8532234,0.05287622,0.0359238,0.286808986845974,105443,0,94.5815608
ELMABC,8,7,99976,0.8668358,0.06326681,0.04517501,0.286074470374812,97569,0,95.9459952
ELMABC,9,1,90800,0.8583214,0.07462054,0.05016543,0.27616282459393,85761,0,94.9559567
ELMABC,9,2,84195,0.8704482,0.07241957,0.05213832,0.28998007647663,80809,0,94.9042747
ELMABC,9,3,105309,0.6340007,0.08622155,0.06769679,0.90552564358222,105309,0,94.8574775
