model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMACOR,1,1,111886,0.7894337,0.09403885,0.07035,0.189963037201861,108758,0,328.9483715
ELMACOR,1,2,80302,0.7219762,0.09499183,0.06809218,0.166630411137698,78149,0,329.7970563
ELMACOR,1,3,108938,0.918184,0.05121954,0.03929033,0.993482531348106,108938,0,329.7220277
ELMACOR,1,4,107335,0.923332,0.03811795,0.02804092,0.996813714072763,107335,0,343.8753812
ELMACOR,1,5,108573,0.910045,0.05840853,0.04428683,0.904727694730734,108573,0,335.8919262
ELMACOR,1,6,99685,0.7793437,0.09207644,0.06685952,0.227316602316602,97384,0,335.4747518
ELMACOR,1,7,99685,0.807861,0.08592074,0.06130873,0.248141378460527,97384,0,335.6186902
ELMACOR,2,1,110740,0.8050973,0.09114925,0.06728142,0.199213791796912,105570,0,332.6160879
ELMACOR,2,2,93548,0.7640015,0.09459312,0.06999563,0.181764525860184,91492,0,328.1386067
ELMACOR,2,3,107783,0.9391657,0.04654347,0.0358983,0.950474564634497,107783,0,330.1948244
ELMACOR,2,4,107916,0.9101348,0.04277379,0.0310137,0.965074687720079,107916,0,329.6739245
ELMACOR,2,5,106418,0.9375634,0.05369525,0.042515,0.665075457159503,106418,0,329.1473022
ELMACOR,2,6,103081,0.7859495,0.1017681,0.07356064,0.258438829172155,99451,0,330.3456324
ELMACOR,2,7,86716,0.7398785,0.08962693,0.06505939,0.202141678439566,84233,0,340.0286477
ELMACOR,3,1,91897,0.7046642,0.08488975,0.05891549,0.219115779752972,86630,0,332.0559476
ELMACOR,3,2,88065,0.7270514,0.09253813,0.06632888,0.16704800149421,85664,0,329.0889177
ELMACOR,3,3,106010,0.6925561,0.07896225,0.06317788,0.812413923214791,106010,0,330.2405948
ELMACOR,3,4,106265,0.7710246,0.07832185,0.06137016,0.72102761963017,106265,0,336.3839372
ELMACOR,3,5,134049,0.8045099,0.1167777,0.08192346,0.203950654280292,40044,0,335.788935
ELMACOR,3,6,87914,0.7192898,0.09153089,0.06197538,0.20837846294558,83094,0,329.0662052
ELMACOR,3,7,93443,0.6521969,0.07478444,0.04990152,0.114654576193038,91091,0,329.7267311
ELMACOR,4,1,111234,0.7492058,0.1086693,0.08044875,0.158106812230295,108452,0,328.0708477
ELMACOR,4,2,87389,0.7142612,0.1010416,0.06982999,0.180384355795531,84453,0,328.6328694
ELMACOR,4,3,107580,0.9112937,0.04734428,0.0356466,0.990518683770218,107580,0,328.917145
ELMACOR,4,4,107501,0.911051,0.03723327,0.02650931,0.996567473790941,107501,0,329.5434863
ELMACOR,4,5,107657,0.9242191,0.05271285,0.0393922,0.942000984608525,107657,0,329.9106378
ELMACOR,4,6,112066,0.7941255,0.0474702,0.03375793,0.230231819625278,110215,0,331.453833
ELMACOR,4,7,85362,0.8023471,0.08044849,0.06028976,0.217387037014317,81509,0,328.9909084
ELMACOR,5,1,110916,0.7443153,0.09919229,0.0693076,0.18383796436122,105952,0,329.1367203
ELMACOR,5,2,103798,0.7448798,0.08189336,0.06235938,0.211222039179882,100766,0,328.7702113
ELMACOR,5,3,108198,0.9191541,0.05046097,0.03789854,0.917798850256012,108198,0,330.3513047
ELMACOR,5,4,108525,0.8909128,0.04019865,0.02971647,0.995991706979959,108525,0,328.3759677
ELMACOR,5,5,108324,0.9222871,0.06202259,0.04944819,0.653068572061593,108324,0,329.4631195
ELMACOR,5,6,110524,0.7831303,0.07187507,0.05283687,0.207842623686894,106903,0,329.2509859
ELMACOR,5,7,88564,0.612193,0.1157547,0.08173918,0.170496865129873,84852,0,330.0544666
ELMACOR,6,1,98276,0.7399693,0.08986795,0.06156751,0.20919919448134,93356,0,328.9609877
ELMACOR,6,2,96724,0.8557836,0.08419336,0.06332695,0.265296285187883,93356,0,329.2185048
ELMACOR,6,3,104586,0.7731268,0.09082676,0.07496107,0.538246036754441,104586,0,329.1045575
ELMACOR,6,4,107077,0.6917832,0.06405802,0.0513606,0.950288110425208,107077,0,327.713114
ELMACOR,6,5,134110,0.7423313,0.1295316,0.0809608,0.199593420809462,54110,0,328.3814351
ELMACOR,6,6,106651,0.7896369,0.06767623,0.0491312,0.233915603532875,101900,0,328.6627092
ELMACOR,6,7,103279,0.7042377,0.07854737,0.05648961,0.194440503455684,98678,0,328.4042951
ELMACOR,7,1,111842,0.752923,0.1033905,0.07454132,0.171254748664868,108978,0,409.9187769
ELMACOR,7,2,92431,0.7351105,0.06395244,0.04454533,0.162537570721358,90496,0,343.1504747
ELMACOR,7,3,108486,0.8752975,0.0494339,0.0373067,0.969793337389156,108486,0,373.1625779
ELMACOR,7,4,108434,0.8472381,0.04439181,0.03043316,0.996292675729015,108434,0,379.7627016
ELMACOR,7,5,25045,0.0760417,0.2036989,0.1587285,0.345138750249551,25045,0,364.9715372
ELMACOR,7,6,110318,0.7790517,0.07383707,0.05406332,0.221238367865394,108643,0,331.0773048
ELMACOR,7,7,69053,0.7594256,0.06649108,0.04765502,0.183713500260049,67295,0,329.2312393
ELMACOR,8,1,110981,0.7995105,0.092801,0.06736544,0.190531057865757,105883,0,327.1150362
ELMACOR,8,2,73108,0.781687,0.0901282,0.06576941,0.199525443837126,70803,0,328.4478833
ELMACOR,8,3,107495,0.9249673,0.04775795,0.03658852,0.952146611470301,107495,0,327.7367405
ELMACOR,8,4,107264,0.7965007,0.04908644,0.03650455,0.997072643198091,107264,0,328.1984845
ELMACOR,8,5,180000,NaN,NaN,NaN,NaN,0,1,0.000211
ELMACOR,8,6,108433,0.7387269,0.07054716,0.04826725,0.215718445036655,105443,0,328.3523477
ELMACOR,8,7,99976,0.7701134,0.0831264,0.06073343,0.203886480336992,97569,0,331.7038576
ELMACOR,9,1,90800,0.7498744,0.09914833,0.07190543,0.179288954186635,85761,0,347.2582643
ELMACOR,9,2,84195,0.7541893,0.09975499,0.07076123,0.215359675283694,80809,0,329.3656729
ELMACOR,9,3,105309,0.5994848,0.09019555,0.06870788,0.892250424939939,105309,0,328.7313495
ELMACOR,9,4,105853,0.684234,0.06591489,0.04906774,0.988408453232313,105853,0,327.5615193
ELMACOR,9,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002087
ELMACOR,9,6,103215,0.7107795,0.08283222,0.05778255,0.202471092034138,99713,0,328.4061628
ELMACOR,9,7,96649,0.7012519,0.08290144,0.05680081,0.240357029008607,94110,0,328.3640293
ELMACOR,10,1,87016,0.7106725,0.1066691,0.074515,0.17437977955696,83559,0,328.051855
ELMACOR,10,2,79143,0.6465752,0.1171219,0.08528627,0.161549046589345,76305,0,328.7356521
ELMACOR,10,3,41022,0.7227036,0.1165462,0.09076689,0.3789430061918,41022,0,328.0827796
ELMACOR,10,4,93441,0.2262453,0.1274648,0.1002394,0.790488115495339,93441,0,328.1520629
ELMACOR,10,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002126
ELMACOR,10,6,55850,0.6472645,0.06702539,0.03679261,0.135757044267358,52454,0,329.4019499
ELMACOR,10,7,59752,0.3917924,0.09640704,0.05032052,0.148011639185257,56705,0,328.1985394
