model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELM,1,1,111886,0.8908724,0.0676987,0.04763197,0.285156034498612,108758,0,0.2149772
ELM,1,2,80302,0.7697676,0.08644272,0.05688081,0.220770579278046,78149,0,0.1342597
ELM,1,3,108938,0.9728979,0.02947931,0.02099168,0.997053369806679,108938,0,0.1266344
ELM,1,4,107335,0.9592645,0.0277849,0.01963639,0.996944146830018,107335,0,0.1199427
ELM,1,5,108573,0.9712811,0.0330026,0.02296995,0.983098928831293,108573,0,0.1506891
ELM,1,6,99685,0.8463649,0.07683086,0.05343947,0.284440975930338,97384,0,0.1318133
ELM,1,7,99685,0.8479452,0.07643469,0.05319738,0.295192228702867,97384,0,0.1244085
ELM,2,1,110740,0.8643206,0.07605035,0.05423918,0.23346594676518,105570,0,0.1187801
ELM,2,2,93548,0.7714754,0.09308323,0.06770959,0.208597473003104,91492,0,0.127084
ELM,2,3,107783,0.9764833,0.02893825,0.02147412,0.994498204726163,107783,0,0.1187503
ELM,2,4,107916,0.9427122,0.03415177,0.02473949,0.985757440972608,107916,0,0.1193383
ELM,2,5,106418,0.9806951,0.02985721,0.02217424,0.88210641056964,106418,0,0.1221809
ELM,2,6,103081,0.8341686,0.08957498,0.06375798,0.271048053815447,99451,0,0.11564
ELM,2,7,86716,0.8379437,0.07074299,0.04881284,0.266487006280199,84233,0,0.111995
ELM,3,1,91897,0.7966388,0.07044192,0.04629704,0.270102735772827,86630,0,0.111941
ELM,3,2,88065,0.8159321,0.07599225,0.050959,0.255136346656705,85664,0,0.1074797
ELM,3,3,106010,0.7518699,0.07093757,0.0584433,0.82549759456655,106010,0,0.1238303
ELM,3,4,106265,0.7777262,0.07716717,0.06096984,0.692401072789724,106265,0,0.1148657
ELM,3,5,134049,0.6713461,0.1514144,0.1091851,0.154754769753271,40044,0,0.1242726
ELM,3,6,87914,0.787206,0.07969265,0.05236166,0.264628011649457,83094,0,0.114225
ELM,3,7,93443,0.5392488,0.08607513,0.05509455,0.106739414431722,91091,0,0.1053642
ELM,4,1,111234,0.7744184,0.1030624,0.07527358,0.160365876147973,108452,0,0.1114566
ELM,4,2,87389,0.7789066,0.08887994,0.0624575,0.192343670443916,84453,0,0.1011606
ELM,4,3,107580,0.9631457,0.03051649,0.02170217,0.996904629113218,107580,0,0.1109112
ELM,4,4,107501,0.9557388,0.02626468,0.01478637,0.99623259318518,107501,0,0.117826
ELM,4,5,107657,0.9841519,0.02410601,0.01714425,0.99463109690963,107657,0,0.1195009
ELM,4,6,112066,0.8388557,0.04199786,0.02666875,0.292047361974323,110215,0,0.114213
