model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMABC,1,1,111886,0.918056,0.05866398,0.04214911,0.324601408632009,108758,0,60.2545475
ELMABC,1,2,80302,0.815747,0.0773308,0.05381376,0.222523640737565,78149,0,59.1594397
ELMABC,1,3,108938,0.9758787,0.02781099,0.02109595,0.997677578071931,108938,0,59.3483484
ELMABC,1,4,107335,0.9594454,0.02772314,0.01929707,0.996636698187916,107335,0,59.5278053
ELMABC,1,5,108573,0.9730007,0.03199928,0.02408128,0.99636189476205,108573,0,59.439416
ELMABC,1,6,99685,0.8749729,0.06930944,0.04823443,0.313757906843013,97384,0,59.0694764
ELMABC,1,7,99685,0.8741677,0.06953226,0.0496233,0.30445453051836,97384,0,58.7070194
ELMABC,2,1,110740,0.8776847,0.07220788,0.05146476,0.257639480913138,105570,0,59.0225032
ELMABC,2,2,93548,0.8710778,0.06991474,0.05043622,0.252874568268264,91492,0,59.2368475
ELMABC,2,3,107783,0.9745017,0.03013283,0.02340547,0.984710019205255,107783,0,59.0175628
ELMABC,2,4,107916,0.9376171,0.03563812,0.02502615,0.972802920790244,107916,0,59.1087802
ELMABC,2,5,106418,0.9796336,0.03066714,0.02338238,0.890582420267248,106418,0,59.2814699
ELMABC,2,6,103081,0.8781841,0.07677244,0.05458897,0.333782465736896,99451,0,59.9373813
ELMABC,2,7,86716,0.8473876,0.06865076,0.04581975,0.286680992010257,84233,0,59.0642672
ELMABC,3,1,91897,0.8128036,0.06758432,0.04273994,0.300877294239871,86630,0,59.1129193
ELMABC,3,2,88065,0.8437923,0.07000539,0.04699117,0.256829006350392,85664,0,59.1733086
ELMABC,3,3,106010,0.8606114,0.05316798,0.0417862,0.933751532874257,106010,0,58.876032
ELMABC,3,4,106265,0.9329147,0.04239377,0.03117133,0.939519126711523,106265,0,58.894629
ELMABC,3,5,134049,0.9344465,0.06762321,0.04301897,0.457471781040855,40044,0,62.2363407
ELMABC,3,6,87914,0.8150581,0.07429443,0.04734851,0.300635424940429,83094,0,58.9349911
ELMABC,3,7,93443,0.637004,0.07640036,0.04641169,0.137269324082511,91091,0,58.9026482
ELMABC,4,1,111234,0.8536404,0.08301545,0.06133449,0.204311584848597,108452,0,58.8342939
ELMABC,4,2,87389,0.8507096,0.07303514,0.05155498,0.22712041016897,84453,0,61.4377235
ELMABC,4,3,107580,0.9600411,0.03177583,0.02331792,0.997053355642313,107580,0,64.781511
ELMABC,4,4,107501,0.9394748,0.03071346,0.02042052,0.996548869312844,107501,0,63.0135004
ELMABC,4,5,107657,0.9761341,0.02958186,0.02258169,0.996479560084342,107657,0,57.9646901
ELMABC,4,6,112066,0.8605772,0.03906489,0.02658296,0.259320419180692,110215,0,57.7421383
ELMABC,4,7,85362,0.8744034,0.06412914,0.04718246,0.261541670245004,81509,0,58.7898165
ELMABC,5,1,110916,0.8695535,0.07085031,0.05070688,0.243072334642102,105952,0,59.1763887
ELMABC,5,2,103798,0.8477279,0.06326834,0.04604165,0.261099974197646,100766,0,58.7602542
ELMABC,5,3,108198,0.971458,0.0299826,0.02357983,0.997818813656445,108198,0,59.4134357
ELMABC,5,4,108525,0.8106533,0.05296067,0.04212844,0.9898733010827,108525,0,59.1396894
ELMABC,5,5,108324,0.9844234,0.02776767,0.02057051,0.934289723422326,108324,0,59.30232
ELMABC,5,6,110524,0.8769215,0.05414644,0.03786011,0.311029624987138,106903,0,58.694615
ELMABC,5,7,88564,0.7053059,0.1009059,0.07137337,0.170968274171499,84852,0,58.8156267
ELMABC,6,1,98276,0.8277484,0.07314322,0.04848478,0.251285402116629,93356,0,58.7810907
ELMABC,6,2,96724,0.9175619,0.06365527,0.04635113,0.344809117785681,93356,0,58.6781812
ELMABC,6,3,104586,0.8988235,0.06065436,0.0466006,0.790861109517526,104586,0,58.5775322
ELMABC,6,4,107077,0.8335347,0.04707683,0.03721126,0.996572559933506,107077,0,58.8535288
ELMABC,6,5,134110,0.9399425,0.06253573,0.04031114,0.420569210866753,54110,0,58.6166518
ELMABC,6,6,106651,0.8827019,0.05053554,0.03526663,0.308410206084396,101900,0,58.6244631
ELMABC,6,7,103279,0.8072993,0.06340185,0.04389317,0.24159387097428,98678,0,58.6428118
ELMABC,7,1,111842,0.8997394,0.0658612,0.04813454,0.250096349721962,108978,0,58.8347452
ELMABC,7,2,92431,0.8318138,0.05095889,0.03498387,0.224043051626591,90496,0,61.1330418
ELMABC,7,3,108486,0.9099201,0.04201469,0.03294699,0.997050310639161,108486,0,59.3107992
ELMABC,7,4,108434,0.9066327,0.03470506,0.01984296,0.995573344154048,108434,0,58.1995398
