model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMACOR,1,1,111886,0.9179408,0.05870519,0.04160327,0.335092590889866,108758,0,130.0512167
ELMACOR,1,2,80302,0.8108526,0.07835115,0.05251165,0.223918412263753,78149,0,129.5743736
ELMACOR,1,3,108938,0.8891138,0.05962869,0.0449301,0.964530283280398,108938,0,129.1795292
ELMACOR,1,4,107335,0.8537645,0.05264397,0.04150339,0.988251735221503,107335,0,130.3054599
ELMACOR,1,5,108573,0.8933065,0.06361108,0.05145815,0.875116281211719,108573,0,128.9530101
ELMACOR,1,6,99685,0.6671219,0.1130923,0.08273444,0.173016101207591,97384,0,129.2532716
ELMACOR,1,7,99685,0.7409656,0.09976289,0.07309288,0.208237492811961,97384,0,128.5880608
ELMACOR,2,1,110740,0.7084844,0.1114744,0.0799167,0.177701998673866,105570,0,129.2336272
ELMACOR,2,2,93548,0.6600004,0.1135388,0.08347017,0.155029947973593,91492,0,129.7596706
ELMACOR,2,3,107783,0.8423802,0.07491862,0.05671979,0.83142981731813,107783,0,128.5322232
ELMACOR,2,4,107916,0.9093833,0.04295227,0.03213252,0.957856110308017,107916,0,128.4686579
ELMACOR,2,5,106418,0.9036517,0.06670187,0.05260292,0.613373677385405,106418,0,128.7104379
ELMACOR,2,6,103081,0.6986811,0.1207443,0.0838387,0.220279333541141,99451,0,129.118952
ELMACOR,2,7,86716,0.871869,0.06290388,0.04365582,0.303669583179989,84233,0,128.6078043
ELMACOR,3,1,91897,0.6203369,0.09624904,0.06366293,0.184197160337066,86630,0,128.8920095
ELMACOR,3,2,88065,0.699224,0.09714084,0.06842369,0.192309488233097,85664,0,130.7782754
ELMACOR,3,3,106010,0.7250563,0.07467212,0.06080183,0.805527780398076,106010,0,128.4661434
ELMACOR,3,4,106265,0.8954453,0.05292491,0.04194347,0.852604338211076,106265,0,128.3862818
ELMACOR,3,5,134049,0.8590539,0.09915722,0.06293049,0.360977924283288,40044,0,128.0361873
ELMACOR,3,6,87914,0.6953273,0.09535762,0.06728102,0.167846053866705,83094,0,129.0822161
ELMACOR,3,7,93443,0.614247,0.07875881,0.04785233,0.122108660570199,91091,0,130.8265949
ELMACOR,4,1,111234,0.8530402,0.0831855,0.06140191,0.219249068712426,108452,0,128.3521178
ELMACOR,4,2,87389,0.8758808,0.06659405,0.04522202,0.269937124791304,84453,0,128.3068548
ELMACOR,4,3,107580,0.9094495,0.0478339,0.0367246,0.996030860754787,107580,0,128.5101798
ELMACOR,4,4,107501,0.8401895,0.04990723,0.03550701,0.995674458842243,107501,0,129.1380266
ELMACOR,4,5,107657,0.8548228,0.07296014,0.05689874,0.797272820160324,107657,0,129.4868791
ELMACOR,4,6,112066,0.7036297,0.05695568,0.03997922,0.189574921743864,110215,0,129.4003855
ELMACOR,4,7,85362,0.7237349,0.0951107,0.06937891,0.194457053822277,81509,0,130.3825441
ELMACOR,5,1,110916,0.745616,0.09893966,0.07036219,0.176844231350045,105952,0,129.0708761
ELMACOR,5,2,103798,0.8554174,0.06165018,0.04517608,0.257666276323363,100766,0,128.4673948
ELMACOR,5,3,108198,0.8350573,0.07207642,0.05826628,0.843841845505462,108198,0,128.3689727
ELMACOR,5,4,108525,0.8167372,0.05210289,0.03971911,0.996083851647086,108525,0,131.5154125
ELMACOR,5,5,108324,0.8976243,0.07118718,0.05650977,0.608138547321,108324,0,129.2965654
ELMACOR,5,6,110524,0.661234,0.08983154,0.06195678,0.198899937326361,106903,0,128.7331376
ELMACOR,5,7,88564,0.5763177,0.1209904,0.08115709,0.164969594116815,84852,0,128.9837092
ELMACOR,6,1,98276,0.6168296,0.1090909,0.07468992,0.170540725823729,93356,0,129.2737289
ELMACOR,6,2,96724,0.8074763,0.09727754,0.07305524,0.238656326320751,93356,0,128.8257487
ELMACOR,6,3,104586,0.7105008,0.1025997,0.08245172,0.502399938806341,104586,0,128.5443885
ELMACOR,6,4,107077,0.6690547,0.06637788,0.05135213,0.945730642434883,107077,0,128.7197847
ELMACOR,6,5,134110,0.9579247,0.052343,0.03331206,0.511365736462761,54110,0,128.6149758
ELMACOR,6,6,106651,0.7144105,0.07885376,0.05933667,0.176526005888126,101900,0,128.518324
ELMACOR,6,7,103279,0.7684915,0.06949342,0.04915839,0.219805833113764,98678,0,129.5072803
ELMACOR,7,1,111842,0.7162654,0.1107951,0.07928038,0.17479674796748,108978,0,128.683317
ELMACOR,7,2,92431,0.8237741,0.05216265,0.03536331,0.219821870579915,90496,0,128.5366211
ELMACOR,7,3,108486,0.8505101,0.05412442,0.04058588,0.949846063086481,108486,0,128.9574315
ELMACOR,7,4,108434,0.7437177,0.05749824,0.04240156,0.995471899957578,108434,0,128.8980543
ELMACOR,7,5,25045,0.119187,0.1988861,0.1508201,0.411978438810142,25045,0,128.6672733
ELMACOR,7,6,110318,0.8415418,0.06252971,0.04387468,0.269745864896956,108643,0,128.7780354
ELMACOR,7,7,69053,0.6292882,0.08253856,0.05511848,0.159328330485177,67295,0,130.5083119
ELMACOR,8,1,110981,0.6338685,0.1254081,0.09377076,0.128075328428548,105883,0,129.490194
ELMACOR,8,2,73108,0.661666,0.1122002,0.08056986,0.164216205528014,70803,0,130.1754276
ELMACOR,8,3,107495,0.8611339,0.06497084,0.05067039,0.912321503325736,107495,0,129.7985489
ELMACOR,8,4,107264,0.6745284,0.06207785,0.04739902,0.993874925417661,107264,0,132.4806406
ELMACOR,8,5,180000,NaN,NaN,NaN,NaN,0,1,0.000268
ELMACOR,8,6,108433,0.6769595,0.07844415,0.05107011,0.202232485798014,105443,0,129.0977135
ELMACOR,8,7,99976,0.6331414,0.1050102,0.07670201,0.169234080496879,97569,0,129.2399884
ELMACOR,9,1,90800,0.5866529,0.127457,0.09194351,0.142652254521286,85761,0,129.0737013
ELMACOR,9,2,84195,0.6758226,0.114558,0.08209706,0.189545718917447,80809,0,130.0182975
ELMACOR,9,3,105309,0.6056875,0.08949441,0.0679596,0.892231433210837,105309,0,130.5578703
ELMACOR,9,4,105853,0.5665491,0.07722729,0.06148483,0.981625461725223,105853,0,129.4016989
ELMACOR,9,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002057
ELMACOR,9,6,103215,0.627976,0.09394426,0.06825039,0.139670855354868,99713,0,128.8746578
ELMACOR,9,7,96649,0.6235545,0.09305946,0.06757625,0.165805971735203,94110,0,129.5534343
ELMACOR,10,1,87016,0.6392711,0.1191062,0.08671795,0.144867698273076,83559,0,129.0783027
ELMACOR,10,2,79143,0.8576033,0.0743429,0.05259253,0.234244151759387,76305,0,129.8162101
ELMACOR,10,3,41022,0.6148673,0.1373508,0.1110503,0.297913314806689,41022,0,132.3674301
ELMACOR,10,4,93441,0.3839242,0.113738,0.09060907,0.846202416498111,93441,0,129.1536899
ELMACOR,10,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002071
ELMACOR,10,6,55850,0.614765,0.07004507,0.03760468,0.146204293285545,52454,0,129.0559859
ELMACOR,10,7,59752,0.5101508,0.0865195,0.04394435,0.160215148575963,56705,0,130.1252617
