model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMIGWO,1,1,111886,0.91883,0.05838627,0.03964783,0.357417385387742,108758,0,66.6318265
ELMIGWO,1,2,80302,0.8763475,0.06335001,0.04297662,0.277380388744578,78149,0,56.8024392
ELMIGWO,1,3,108938,0.9900813,0.01783377,0.01015568,0.997080908406617,108938,0,54.5297346
ELMIGWO,1,4,107335,0.9785119,0.02018001,0.01245409,0.997000046583128,107335,0,51.6121975
ELMIGWO,1,5,108573,0.9956494,0.01284511,0.006536647,0.997678980962118,108573,0,51.3883232
ELMIGWO,1,6,99685,0.9027092,0.06114012,0.04146891,0.363571017826337,97384,0,52.1322535
ELMIGWO,1,7,99685,0.9050051,0.06041441,0.04142607,0.356999096360798,97384,0,52.3938348
ELMIGWO,2,1,110740,0.890346,0.06836856,0.0475436,0.279084967320261,105570,0,52.6494653
ELMIGWO,2,2,93548,0.907221,0.05931025,0.04238631,0.29178507410484,91492,0,50.9555442
ELMIGWO,2,3,107783,0.9914391,0.01745997,0.0117668,0.997068183294212,107783,0,52.737813
ELMIGWO,2,4,107916,0.9837843,0.01816979,0.01191918,0.997201527113681,107916,0,51.3741266
ELMIGWO,2,5,106418,0.9975284,0.01068319,0.007475908,0.965456971564961,106418,0,47.5836574
ELMIGWO,2,6,103081,0.917947,0.0630087,0.04301931,0.414495580738253,99451,0,46.7841564
ELMIGWO,2,7,86716,0.912651,0.05193729,0.03640152,0.342229292557549,84233,0,46.509589
ELMIGWO,3,1,91897,0.8547228,0.05953823,0.03819517,0.344187925660857,86630,0,46.8605353
ELMIGWO,3,2,88065,0.8856551,0.05989473,0.04044602,0.286362999626448,85664,0,46.6357989
ELMIGWO,3,3,106010,0.9544213,0.03040306,0.02288622,0.997245542873314,106010,0,46.3842203
ELMIGWO,3,4,106265,0.9709071,0.02791786,0.02193722,0.9923022632099,106265,0,46.941158
ELMIGWO,3,5,134049,0.9853872,0.03192747,0.02051655,0.72462790929977,40044,0,47.2159646
ELMIGWO,3,6,87914,0.8712799,0.06198146,0.03711548,0.370183166052904,83094,0,46.5169471
ELMIGWO,3,7,93443,0.7463289,0.0638675,0.04073302,0.138411039509941,91091,0,46.687731
ELMIGWO,4,1,111234,0.8554214,0.0825088,0.05852672,0.23320916165677,108452,0,46.6879912
ELMIGWO,4,2,87389,0.8897066,0.06277557,0.0413873,0.306774182089446,84453,0,46.2862379
ELMIGWO,4,3,107580,0.9729496,0.02614429,0.01774188,0.996913924521286,107580,0,47.6189337
ELMIGWO,4,4,107501,0.9603733,0.02485163,0.0130321,0.996381429009963,107501,0,47.151501
ELMIGWO,4,5,107657,0.9955868,0.01272086,0.005402998,0.996786089153515,107657,0,46.2338478
ELMIGWO,4,6,112066,0.8902047,0.03466663,0.02161304,0.34888173116182,110215,0,46.6422449
ELMIGWO,4,7,85362,0.9067937,0.05524449,0.03900614,0.328982075599014,81509,0,46.6063327
ELMIGWO,5,1,110916,0.8854485,0.06639356,0.04233969,0.322221383267895,105952,0,46.5134194
ELMIGWO,5,2,103798,0.8560662,0.06151171,0.0432322,0.281692237461048,100766,0,46.5464635
ELMIGWO,5,3,108198,0.989933,0.01780638,0.01237797,0.997892752176565,108198,0,48.5304815
