model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELM,1,1,111886,0.8654178,0.07518075,0.05496593,0.224958163997131,108758,0,0.1040764
ELM,1,2,80302,0.766416,0.08706965,0.05973046,0.18742402334003,78149,0,0.0784336
ELM,1,3,108938,0.9617143,0.03503761,0.02585773,0.994428023279296,108938,0,0.0836503
ELM,1,4,107335,0.9458329,0.03203983,0.02306377,0.996981413332091,107335,0,0.0852762
ELM,1,5,108573,0.9519196,0.04270198,0.03396617,0.98558573494331,108573,0,0.0958139
ELM,1,6,99685,0.7881294,0.09022476,0.06292839,0.233559927708864,97384,0,0.0828175
ELM,1,7,99685,0.8300308,0.08081193,0.05725397,0.278413291711164,97384,0,0.0860624
ELM,2,1,110740,0.8369739,0.08336289,0.05965634,0.215383158094156,105570,0,0.0888904
ELM,2,2,93548,0.8058666,0.08579364,0.06136599,0.215253792681327,91492,0,0.0849144
ELM,2,3,107783,0.9608433,0.03734112,0.03014775,0.985470807084605,107783,0,0.0924815
ELM,2,4,107916,0.9345345,0.03650802,0.02539297,0.968531079728678,107916,0,0.0887825
ELM,2,5,106418,0.9605364,0.04268882,0.03381962,0.757644383468962,106418,0,0.0834432
ELM,2,6,103081,0.8163521,0.0942641,0.06696407,0.276668912328684,99451,0,0.0898151
ELM,2,7,86716,0.7913762,0.08026611,0.05713845,0.227321833485689,84233,0,0.0818497
ELM,3,1,91897,0.7801989,0.0732339,0.04870769,0.249243910885375,86630,0,0.0900771
ELM,3,2,88065,0.8058862,0.07803842,0.0523735,0.23317846469929,85664,0,0.0803187
ELM,3,3,106010,0.7184333,0.07556614,0.06231987,0.797858692576172,106010,0,0.0904788
ELM,3,4,106265,0.7084026,0.08838535,0.06925447,0.655521573424928,106265,0,0.0810082
ELM,3,5,134049,0.7182714,0.1401887,0.09938256,0.156452901808011,40044,0,0.0906396
ELM,3,6,87914,0.7698404,0.08288065,0.05307009,0.270464774833321,83094,0,0.0801339
ELM,3,7,93443,0.4756289,0.09182562,0.05864543,0.0829829511148193,91091,0,0.083518
ELM,4,1,111234,0.7692017,0.1042472,0.07702775,0.164127909121086,108452,0,0.0872411
ELM,4,2,87389,0.7560399,0.09336311,0.06680661,0.167229109682309,84453,0,0.0825175
ELM,4,3,107580,0.9376812,0.03968257,0.028733,0.997062651050381,107580,0,0.0840541
ELM,4,4,107501,0.9468284,0.02878728,0.01713357,0.996297708858522,107501,0,0.0877144
ELM,4,5,107657,0.9603422,0.03813298,0.02753565,0.958627864421264,107657,0,0.0840199
ELM,4,6,112066,0.8335629,0.042682,0.02816117,0.265508324638207,110215,0,0.0867282
ELM,4,7,85362,0.8300453,0.07459897,0.05444337,0.256707848213081,81509,0,0.0839583
ELM,5,1,110916,0.8365116,0.07931749,0.05527292,0.241279069767442,105952,0,0.0853115
ELM,5,2,103798,0.8096947,0.07072968,0.0526646,0.244536847746264,100766,0,0.0875553
ELM,5,3,108198,0.9339072,0.04562508,0.03374866,0.962439231778776,108198,0,0.0775927
ELM,5,4,108525,0.8697033,0.04393305,0.03348387,0.996102280580511,108525,0,0.0929746
ELM,5,5,108324,0.9557496,0.04680174,0.03567608,0.767364572947823,108324,0,0.088381
ELM,5,6,110524,0.8571957,0.05832431,0.04256712,0.275511444954772,106903,0,0.0927769
ELM,5,7,88564,0.6829823,0.104658,0.07326098,0.197237543016075,84852,0,0.0821516
